mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.00418400764465332,0.0005550161050774495,0.0008720874786376954,0.00013083410641831971,0.0001,l1,liblinear,0.0001,"{'C': 0.0001, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.0001}",0.18518518518518517,0.18518518518518517,0.16981132075471697,0.18867924528301888,0.18867924528301888,0.18350803633822502,0.007024364429422264,9
0.0046863555908203125,0.0006536670141732613,0.0008250236511230469,9.506733886116399e-05,0.0001,l1,liblinear,1.0,"{'C': 0.0001, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 1}",0.18518518518518517,0.18518518518518517,0.16981132075471697,0.18867924528301888,0.18867924528301888,0.18350803633822502,0.007024364429422264,9
0.0009614944458007813,8.692303257801167e-05,0.0,0.0,0.0001,l1,lbfgs,0.0001,"{'C': 0.0001, 'penalty': 'l1', 'solver': 'lbfgs', 'tol': 0.0001}",,,,,,,,13
0.0008172988891601562,0.00014178342165401244,0.0,0.0,0.0001,l1,lbfgs,1.0,"{'C': 0.0001, 'penalty': 'l1', 'solver': 'lbfgs', 'tol': 1}",,,,,,,,13
0.006346654891967773,0.000778076984036955,0.001299905776977539,0.0003548560940348959,0.0001,l2,liblinear,0.0001,"{'C': 0.0001, 'penalty': 'l2', 'solver': 'liblinear', 'tol': 0.0001}",0.4074074074074074,0.3888888888888889,0.41509433962264153,0.41509433962264153,0.41509433962264153,0.4083158630328441,0.010159486706016076,6
0.005137300491333008,0.0004115158989062752,0.0009083747863769531,0.0001528874823841143,0.0001,l2,liblinear,1.0,"{'C': 0.0001, 'penalty': 'l2', 'solver': 'liblinear', 'tol': 1}",0.4074074074074074,0.3888888888888889,0.41509433962264153,0.41509433962264153,0.41509433962264153,0.4083158630328441,0.010159486706016076,6
0.18359923362731934,0.029609260872335678,0.0028656482696533202,0.001369961965275662,0.0001,l2,lbfgs,0.0001,"{'C': 0.0001, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001}",0.4074074074074074,0.3888888888888889,0.41509433962264153,0.41509433962264153,0.41509433962264153,0.4083158630328441,0.010159486706016076,6
0.016881895065307618,0.00391842384237052,0.0021311759948730467,0.0002980343778430308,0.0001,l2,lbfgs,1.0,"{'C': 0.0001, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 1}",0.18518518518518517,0.18518518518518517,0.16981132075471697,0.18867924528301888,0.18867924528301888,0.18350803633822502,0.007024364429422264,9
0.17226719856262207,0.05494495143506343,0.0029401302337646483,0.0008599224700648324,1.0,l1,liblinear,0.0001,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.0001}",0.8333333333333334,0.7777777777777778,0.9245283018867925,0.7735849056603774,0.8867924528301887,0.839203354297694,0.05942795365602313,2
0.04264087677001953,0.009904356464889422,0.002779579162597656,0.000693901955471996,1.0,l1,liblinear,1.0,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 1}",0.8703703703703703,0.8333333333333334,0.9433962264150944,0.7547169811320755,0.8490566037735849,0.8501747030048916,0.06081969409773298,1
0.0019112586975097655,0.00021218860279682383,0.0,0.0,1.0,l1,lbfgs,0.0001,"{'C': 1, 'penalty': 'l1', 'solver': 'lbfgs', 'tol': 0.0001}",,,,,,,,13
0.0029378890991210937,0.0005488519269478301,0.0,0.0,1.0,l1,lbfgs,1.0,"{'C': 1, 'penalty': 'l1', 'solver': 'lbfgs', 'tol': 1}",,,,,,,,13
0.024825525283813477,0.006360776476325313,0.0026270389556884766,0.0007485706551308048,1.0,l2,liblinear,0.0001,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear', 'tol': 0.0001}",0.7962962962962963,0.7592592592592593,0.8301886792452831,0.7358490566037735,0.7735849056603774,0.7790356394129979,0.03225045861779781,5
0.013053560256958007,0.0017408393188713997,0.002266263961791992,0.00036688021383541637,1.0,l2,liblinear,1.0,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear', 'tol': 1}",0.9074074074074074,0.8333333333333334,0.8867924528301887,0.7547169811320755,0.8113207547169812,0.8387141858839972,0.05452552152382193,3
0.27132186889648435,0.002876749247341881,0.0013305187225341798,0.0004936925313786825,1.0,l2,lbfgs,0.0001,"{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001}",0.8888888888888888,0.7962962962962963,0.9056603773584906,0.7547169811320755,0.8301886792452831,0.8351502445842067,0.05632632956847846,4
0.030776166915893556,0.009803745895705441,0.004130268096923828,0.0010217312930766106,1.0,l2,lbfgs,1.0,"{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 1}",0.18518518518518517,0.18518518518518517,0.16981132075471697,0.18867924528301888,0.18867924528301888,0.18350803633822502,0.007024364429422264,9
